date,CN_search,AF_search,AL_search,DZ_search,AD_search,AO_search,AG_search,AR_search,AM_search,AU_search,AT_search,AZ_search,BS_search,BH_search,BD_search,BB_search,BY_search,BE_search,BZ_search,BJ_search,BT_search,BO_search,BA_search,BW_search,BR_search,BN_search,BG_search,BF_search,MM_search,BI_search,CV_search,KH_search,CM_search,CA_search,CF_search,TD_search,CL_search,CO_search,CG_search,CD_search,CR_search,CI_search,HR_search,CU_search,CY_search,CZ_search,DK_search,DJ_search,DM_search,DO_search,EC_search,EG_search,SV_search,GQ_search,ER_search,EE_search,SZ_search,ET_search,FJ_search,FI_search,FR_search,GA_search,GM_search,GE_search,DE_search,GH_search,GR_search,GD_search,GT_search,GN_search,GW_search,GY_search,HT_search,VA_search,HN_search,HU_search,IS_search,IN_search,ID_search,IR_search,IQ_search,IE_search,IL_search,IT_search,JM_search,JP_search,JO_search,KZ_search,KE_search,KR_search,XK_search,KW_search,KG_search,LA_search,LV_search,LB_search,LR_search,LY_search,LI_search,LT_search,LU_search,MG_search,MW_search,MY_search,MV_search,ML_search,MT_search,MR_search,MU_search,MX_search,MD_search,MC_search,MN_search,ME_search,MA_search,MZ_search,NA_search,NP_search,NL_search,NZ_search,NI_search,NE_search,NG_search,MK_search,NO_search,OM_search,PK_search,PA_search,PG_search,PY_search,PE_search,PH_search,PL_search,PT_search,QA_search,RO_search,RU_search,RW_search,KN_search,LC_search,VC_search,SM_search,ST_search,SA_search,SN_search,RS_search,SC_search,SL_search,SG_search,SK_search,SI_search,SO_search,ZA_search,SS_search,ES_search,LK_search,SD_search,SR_search,SE_search,CH_search,SY_search,TW_search,TZ_search,TH_search,TL_search,TG_search,TT_search,TN_search,TR_search,US_search,UG_search,UA_search,AE_search,GB_search,UY_search,UZ_search,VE_search,VN_search,PS_search,EH_search,YE_search,ZM_search,ZW_search,KM_search,TJ_search,LS_search
2020-02-05,39.0,11.0,6.0,1.0,,5.0,,6.0,,12.0,6.0,9.0,,5.0,3.0,16.0,6.0,6.0,6.0,3.0,,13,,9.0,4.0,38.0,5.0,4,15.0,,,19.0,5,10.0,,,6.0,5.0,,5.0,6.0,,9.0,12.0,5.0,10.0,7.0,,,13,6,4.0,7.0,0.0,,11.0,12.0,,11.0,13.0,3.0,3.0,,3.0,7.0,4.0,8.0,,6.0,3.0,,10.0,4.0,,3,10.0,,5.0,6,4.0,6.0,6.0,12,4.0,4.0,17.0,4,1,3,32.0,6.0,3,,,18.0,5,3.0,,,7.0,,4.0,,29.0,14.0,6.0,4.0,,8.0,5,7.0,,31.0,7.0,3.0,4.0,5.0,4.0,10.0,11.0,6.0,,4.0,8.0,8.0,3,,12.0,,5,4.0,13,8.0,7.0,2.0,4.0,6.0,3.0,,,,,,2,4,,,,50.0,6.0,7.0,,8.0,0.0,3.0,7.0,11.0,8.0,13.0,5.0,,15.0,2.0,7,,2.0,8.0,1,11.0,5.0,3.0,5.0,7.0,5.0,4.0,9.0,6.0,6,11.0,0,0.0,5.0,9.0,,,
2020-02-06,38.0,6.0,4.0,2.0,,5.0,,6.0,,11.0,5.0,4.0,,6.0,3.0,21.0,12.0,5.0,8.0,4.0,,15,,2.0,4.0,41.0,8.0,3,8.0,,,17.0,4,10.0,,,6.0,5.0,,3.0,5.0,,8.0,8.0,8.0,8.0,9.0,,,17,4,4.0,3.0,0.0,,8.0,12.0,,3.0,11.0,3.0,7.0,,5.0,7.0,10.0,5.0,,5.0,3.0,,9.0,3.0,,4,10.0,,5.0,6,6.0,1.0,9.0,13,4.0,9.0,18.0,4,1,4,44.0,6.0,3,,,13.0,4,3.0,,,10.0,,5.0,,27.0,7.0,3.0,4.0,,11.0,5,3.0,,33.0,0.0,3.0,4.0,7.0,7.0,9.0,12.0,5.0,,5.0,5.0,8.0,3,,5.0,,3,4.0,12,9.0,5.0,6.0,3.0,6.0,6.0,,,,,,2,3,,,,60.0,7.0,5.0,,9.0,0.0,3.0,6.0,0.0,8.0,12.0,4.0,,15.0,4.0,8,,3.0,7.0,1,10.0,6.0,4.0,4.0,7.0,7.0,3.0,6.0,5.0,7,11.0,11,0.0,9.0,13.0,,,
2020-02-07,38.0,8.0,4.0,2.0,,5.0,,7.0,,12.0,6.0,5.0,,7.0,4.0,14.0,2.0,5.0,6.0,8.0,,12,,9.0,4.0,44.0,7.0,9,15.0,,,14.0,7,11.0,,,9.0,4.0,,6.0,6.0,,11.0,8.0,6.0,9.0,10.0,,,13,5,3.0,8.0,0.0,,11.0,10.0,,9.0,16.0,3.0,9.0,,8.0,7.0,8.0,6.0,,6.0,8.0,,8.0,8.0,,6,10.0,,5.0,7,9.0,6.0,7.0,13,4.0,9.0,16.0,3,2,6,38.0,6.0,3,,,11.0,4,6.0,,,7.0,,9.0,,30.0,11.0,4.0,4.0,,11.0,5,2.0,,23.0,7.0,3.0,9.0,8.0,6.0,8.0,14.0,7.0,,5.0,7.0,11.0,4,,6.0,,4,4.0,12,7.0,6.0,6.0,5.0,8.0,3.0,,,,,,2,7,,,,100.0,8.0,7.0,,9.0,0.0,3.0,9.0,4.0,19.0,11.0,4.0,,19.0,4.0,7,,3.0,6.0,1,10.0,6.0,6.0,4.0,7.0,6.0,4.0,9.0,6.0,6,2.0,0,0.0,19.0,13.0,,,
2020-02-08,35.0,3.0,9.0,1.0,,5.0,,6.0,,11.0,6.0,5.0,,5.0,4.0,7.0,5.0,5.0,13.0,6.0,,9,,14.0,3.0,38.0,12.0,2,11.0,,,19.0,5,10.0,,,9.0,5.0,,6.0,6.0,,14.0,7.0,5.0,9.0,9.0,,,6,6,4.0,4.0,0.0,,8.0,6.0,,6.0,12.0,7.0,12.0,,8.0,7.0,4.0,7.0,,7.0,0.0,,5.0,8.0,,5,10.0,,4.0,7,4.0,6.0,6.0,16,4.0,9.0,11.0,4,2,5,33.0,14.0,4,,,11.0,3,4.0,,,7.0,,9.0,,29.0,9.0,7.0,3.0,,11.0,5,4.0,,16.0,0.0,4.0,6.0,3.0,4.0,9.0,11.0,6.0,,5.0,5.0,13.0,5,,6.0,,4,4.0,10,7.0,6.0,6.0,6.0,5.0,3.0,,,,,,2,1,,,,88.0,5.0,8.0,,7.0,0.0,4.0,8.0,0.0,9.0,10.0,6.0,,17.0,4.0,8,,3.0,4.0,2,9.0,6.0,3.0,8.0,9.0,6.0,2.0,3.0,5.0,6,0.0,0,13.0,5.0,17.0,,,
2020-02-09,32.0,4.0,6.0,2.0,,3.0,,4.0,,9.0,5.0,3.0,,4.0,3.0,5.0,2.0,4.0,6.0,7.0,,7,,3.0,3.0,44.0,6.0,5,12.0,,,17.0,5,9.0,,,6.0,4.0,,5.0,3.0,,9.0,3.0,5.0,7.0,6.0,,,5,4,3.0,7.0,0.0,,5.0,6.0,,6.0,13.0,5.0,6.0,,5.0,5.0,4.0,5.0,,6.0,7.0,,8.0,4.0,,5,8.0,,4.0,6,4.0,1.0,6.0,12,4.0,6.0,11.0,1,1,4,24.0,6.0,3,,,6.0,4,3.0,,,12.0,,4.0,,27.0,9.0,7.0,3.0,,6.0,4,5.0,,17.0,4.0,3.0,11.0,7.0,6.0,4.0,11.0,7.0,,4.0,7.0,6.0,4,,5.0,,2,3.0,9,7.0,5.0,2.0,4.0,4.0,8.0,,,,,,2,3,,,,83.0,4.0,4.0,,7.0,5.0,4.0,7.0,7.0,4.0,8.0,5.0,,15.0,4.0,7,,6.0,7.0,1,8.0,5.0,4.0,4.0,7.0,6.0,3.0,6.0,5.0,4,2.0,0,0.0,5.0,12.0,,,
2020-02-10,32.0,5.0,3.0,1.0,,5.0,,3.0,,10.0,4.0,4.0,,3.0,4.0,11.0,2.0,4.0,13.0,7.0,,10,,3.0,3.0,41.0,6.0,6,12.0,,,17.0,3,9.0,,,5.0,4.0,,8.0,4.0,,9.0,2.0,10.0,8.0,6.0,,,5,5,4.0,3.0,0.0,,8.0,6.0,,9.0,10.0,3.0,14.0,,3.0,4.0,3.0,5.0,,4.0,8.0,,5.0,5.0,,2,8.0,,4.0,8,3.0,6.0,7.0,14,4.0,6.0,13.0,1,2,5,24.0,6.0,2,,,9.0,3,4.0,,,7.0,,9.0,,31.0,9.0,4.0,3.0,,12.0,4,7.0,,32.0,6.0,3.0,9.0,5.0,4.0,7.0,11.0,5.0,,4.0,5.0,9.0,3,,5.0,,3,4.0,12,7.0,6.0,6.0,3.0,5.0,18.0,,,,,,1,7,,,,92.0,7.0,6.0,,6.0,0.0,4.0,8.0,4.0,4.0,9.0,4.0,,17.0,3.0,6,,3.0,6.0,1,7.0,5.0,4.0,4.0,6.0,9.0,3.0,4.0,5.0,5,11.0,0,0.0,5.0,7.0,,,
2020-02-11,28.0,10.0,5.0,1.0,,5.0,,4.0,,9.0,4.0,3.0,,4.0,4.0,7.0,2.0,4.0,6.0,4.0,,6,,3.0,3.0,50.0,6.0,4,6.0,,,19.0,3,8.0,,,6.0,4.0,,6.0,4.0,,9.0,4.0,8.0,7.0,7.0,,,5,4,3.0,5.0,0.0,,11.0,0.0,,11.0,14.0,3.0,19.0,,5.0,5.0,4.0,8.0,,5.0,7.0,,7.0,5.0,,4,10.0,,3.0,6,4.0,6.0,6.0,11,5.0,9.0,12.0,2,1,6,26.0,6.0,3,,,11.0,4,0.0,,,8.0,,7.0,,29.0,9.0,8.0,3.0,,11.0,4,5.0,,28.0,3.0,3.0,8.0,5.0,4.0,6.0,10.0,4.0,,4.0,5.0,7.0,2,,5.0,,1,4.0,10,7.0,5.0,2.0,5.0,5.0,8.0,,,,,,1,3,,,,78.0,5.0,7.0,,6.0,0.0,4.0,7.0,4.0,4.0,8.0,4.0,,17.0,7.0,7,,5.0,4.0,1,6.0,5.0,5.0,5.0,6.0,8.0,3.0,3.0,4.0,4,5.0,0,0.0,5.0,10.0,,,
2020-02-12,26.0,4.0,8.0,1.0,,4.0,,4.0,,8.0,4.0,1.0,,4.0,4.0,7.0,6.0,4.0,8.0,5.0,,7,,3.0,2.0,38.0,7.0,3,16.0,,,14.0,2,7.0,,,5.0,5.0,,3.0,5.0,,9.0,3.0,6.0,10.0,6.0,,,3,3,2.0,7.0,0.0,,5.0,6.0,,9.0,10.0,3.0,4.0,,5.0,5.0,3.0,6.0,,4.0,3.0,,6.0,3.0,,2,6.0,,3.0,6,1.0,6.0,5.0,10,4.0,6.0,13.0,3,1,4,19.0,6.0,3,,,1.0,2,3.0,,,5.0,,5.0,,24.0,7.0,6.0,3.0,,13.0,4,3.0,,46.0,3.0,2.0,4.0,8.0,5.0,6.0,10.0,6.0,,4.0,4.0,9.0,3,,5.0,,3,3.0,8,6.0,5.0,2.0,7.0,3.0,8.0,,,,,,2,5,,,,78.0,6.0,4.0,,5.0,0.0,3.0,6.0,4.0,0.0,8.0,3.0,,15.0,3.0,6,,2.0,9.0,1,5.0,4.0,5.0,5.0,7.0,8.0,3.0,4.0,5.0,4,5.0,0,0.0,5.0,12.0,,,
2020-02-13,32.0,20.0,4.0,1.0,,5.0,,4.0,,9.0,5.0,4.0,,3.0,4.0,5.0,4.0,4.0,12.0,6.0,,5,,9.0,3.0,41.0,7.0,3,9.0,,,17.0,3,8.0,,,5.0,6.0,,3.0,4.0,,11.0,3.0,5.0,6.0,9.0,,,3,4,2.0,4.0,0.0,,8.0,12.0,,3.0,11.0,3.0,4.0,,8.0,6.0,4.0,8.0,,5.0,3.0,,4.0,6.0,,3,7.0,,4.0,7,4.0,6.0,5.0,12,4.0,9.0,16.0,5,0,4,24.0,3.0,2,,,6.0,4,0.0,,,9.0,,5.0,,26.0,5.0,5.0,4.0,,13.0,4,4.0,,36.0,13.0,3.0,6.0,8.0,6.0,6.0,11.0,3.0,,6.0,5.0,11.0,3,,4.0,,2,2.0,7,8.0,4.0,2.0,7.0,5.0,6.0,,,,,,2,6,,,,72.0,7.0,8.0,,5.0,0.0,3.0,9.0,11.0,4.0,10.0,5.0,,15.0,3.0,7,,0.0,4.0,1,6.0,5.0,6.0,5.0,6.0,8.0,3.0,3.0,4.0,5,11.0,0,0.0,9.0,9.0,,,
2020-02-14,26.0,5.0,5.0,1.0,,7.0,,3.0,,8.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,8.0,4.0,,5,,3.0,2.0,53.0,5.0,4,15.0,,,14.0,3,7.0,,,4.0,6.0,,5.0,8.0,,7.0,2.0,6.0,7.0,6.0,,,2,3,4.0,5.0,0.0,,5.0,12.0,,9.0,8.0,3.0,7.0,,8.0,5.0,3.0,5.0,,5.0,3.0,,5.0,6.0,,3,7.0,,3.0,4,3.0,1.0,4.0,12,3.0,6.0,15.0,4,1,3,11.0,6.0,3,,,5.0,2,3.0,,,6.0,,9.0,,21.0,9.0,5.0,4.0,,6.0,3,6.0,,28.0,3.0,2.0,3.0,7.0,4.0,4.0,10.0,2.0,,4.0,5.0,7.0,3,,3.0,,2,2.0,5,8.0,4.0,6.0,4.0,5.0,7.0,,,,,,1,5,,,,61.0,6.0,5.0,,4.0,0.0,2.0,7.0,11.0,4.0,7.0,4.0,,15.0,5.0,6,,2.0,4.0,1,6.0,4.0,3.0,5.0,5.0,6.0,2.0,4.0,3.0,5,5.0,0,13.0,5.0,7.0,,,
2020-02-15,22.0,10.0,4.0,1.0,,4.0,,3.0,,8.0,3.0,3.0,,4.0,3.0,0.0,5.0,4.0,8.0,3.0,,5,,3.0,2.0,29.0,6.0,0,11.0,,,11.0,3,7.0,,,4.0,5.0,,3.0,6.0,,6.0,1.0,4.0,7.0,6.0,,,3,3,9.0,2.0,0.0,,11.0,12.0,,3.0,11.0,3.0,8.0,,3.0,6.0,4.0,3.0,,4.0,3.0,,11.0,2.0,,1,8.0,,3.0,4,3.0,1.0,3.0,12,4.0,1.0,13.0,5,2,4,12.0,6.0,3,,,5.0,5,6.0,,,5.0,,5.0,,20.0,7.0,2.0,3.0,,7.0,3,2.0,,28.0,0.0,2.0,7.0,7.0,5.0,4.0,9.0,2.0,,3.0,4.0,5.0,3,,4.0,,2,2.0,5,7.0,3.0,6.0,3.0,3.0,0.0,,,,,,2,4,,,,56.0,4.0,4.0,,5.0,0.0,2.0,7.0,4.0,0.0,6.0,3.0,,10.0,4.0,6,,4.0,6.0,1,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,4,0.0,0,0.0,3.0,17.0,,,
